set,tns_name,ztf_oid,reporting_groups,obj_type,disc_mag,disc_filter,disc_ut,disc_jd,report_ut,report_jd,report_lag_days,n_alerts_total,n_alerts_pre_cutoff,recovered_pre_report,channel_pre,reason_pre,first_pass_jd,lead_days_vs_report,lead_days_this_episode,recovered_at_discovery_epoch,mag_at_pass,ever_passes,channel_ever,reason_ever,tns_internal_name
DCAP_group195,AT 2026lby,ZTF20abyleuc,DCAP,,19.107,r-ZTF,2026-04-29 10:24:31.000,2461159.93369213,2026-04-29 14:07:13,2461160.0883449074,0.155,11,10,True,A1_cv_outburst,"outburst on a PS1 point source 2.73"" away [galactic plane]",2459097.7530324,2062.335,0.109,True,19.133223,True,A1_cv_outburst,"outburst on a PS1 point source 2.73"" away [galactic plane]",DCAP28
DCAP_group195,AT 2026lbb,ZTF19abzhvcx,DCAP,,19.101,r-ZTF,2026-04-28 09:45:12.000,2461158.906388889,2026-04-29 13:52:33,2461160.078159722,1.172,7,7,True,A1_cv_outburst,"outburst on a PS1 point source 2.39"" away [galactic plane]",2460785.9623958,374.116,0.165,True,19.51394,True,A1_cv_outburst,"outburst on a PS1 point source 2.39"" away [galactic plane]",DCAP27
DCAP_group195,AT 2026kzs,ZTF26aaszapy,DCAP,,19.663,g-ZTF,2026-04-07 06:29:58.000,2461137.770810185,2026-04-28 14:57:27,2461159.1232291665,21.352,24,3,True,A1_cv_outburst,"outburst on a PS1 point source 0.34"" away",2461153.7866898,5.337,5.337,False,19.71895,True,A1_cv_outburst,"outburst on a PS1 point source 0.34"" away",DCAP26
DCAP_group195,AT 2026kzr,ZTF18abntybr,DCAP,,18.725,g-ZTF,2026-04-28 11:23:45.000,2461158.974826389,2026-04-28 14:15:14,2461159.093912037,0.119,28,28,True,A1_cv_outburst,"outburst on a PS1 point source 1.57"" away [galactic plane]",2459167.6359722,1991.458,,True,18.353226,True,A1_cv_outburst,"outburst on a PS1 point source 1.57"" away [galactic plane]",DCAP25
DCAP_group195,AT 2026kzq,ZTF22abinvnz,DCAP,,19.645,r-ZTF,2026-04-15 10:46:52.000,2461145.9492129628,2026-04-28 14:00:27,2461159.083645833,13.134,2,2,True,A1_cv_outburst,"outburst on a PS1 point source 2.92"" away [galactic plane]",2461145.949213,13.134,,True,19.64497,True,A1_cv_outburst,"outburst on a PS1 point source 2.92"" away [galactic plane]",DCAP24
DCAP_group195,SN 2026kza,ZTF26aatuoje,"DCAP, ZTF, ATLAS, GOTO, BlackGEM",SN Ia,19.353,g-ZTF,2026-04-23 07:06:10.000,2461153.795949074,2026-04-28 13:42:27,2461159.0711458335,5.275,7,2,False,,"no channel: bright, off-plane, extended non-stellar association",,,,False,,False,,already in TNS: SN Ia,DCAP23
DCAP_group195,AT 2026kqi,ZTF21abibmiq,DCAP,,17.442,r-ZTF,2026-04-23 10:09:32.000,2461153.923287037,2026-04-24 14:38:21,2461155.109965278,1.187,13,12,False,,"nuclear: on a PS1 galaxy centroid (TDE/AGN territory, out of scope)",,,,False,,False,,"nuclear: on a PS1 galaxy centroid (TDE/AGN territory, out of scope)",DCAP22
DCAP_group195,AT 2026kqh,ZTF19aargjjc,DCAP,,18.59,r-ZTF,2026-04-18 10:58:41.000,2461148.9574189815,2026-04-24 14:08:29,2461155.089224537,6.132,21,18,True,D_galactic_plane,"|b| = 10.2 deg, extended association 0.16""",2459328.9166667,1826.173,0.144,True,18.775915,True,D_galactic_plane,"|b| = 10.2 deg, extended association 0.16""",DCAP21
DCAP_group195,AT 2026kpi,ZTF26aaubjut,DCAP,,17.69,Clear-,2026-04-24 08:08:51.000,2461154.8394791665,2026-04-24 09:28:12,2461154.8945833333,0.055,1,1,False,,"only 1 clean detection(s), need 2",,,,False,,False,,"only 1 clean detection(s), need 2",DCAPJ134140.37-050538.5
DCAP_group195,AT 2026kmn,ZTF18abbcyzn,DCAP,,18.342,r-ZTF,2026-04-15 10:43:28.000,2461145.946851852,2026-04-23 15:16:59,2461154.1367939813,8.19,42,41,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",2459023.8374537,2130.299,8.167,True,19.14703,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",DCAP20
DCAP_group195,AT 2026kml,ZTF18abcgxgn,DCAP,,19.221,g-ZTF,2026-04-23 11:39:08.000,2461153.985509259,2026-04-23 15:02:36,2461154.1268055555,0.141,17,17,True,A1_cv_outburst,"outburst on a PS1 point source 0.21"" away [galactic plane]",2459038.8566667,2115.27,,True,18.82961,True,A1_cv_outburst,"outburst on a PS1 point source 0.21"" away [galactic plane]",DCAP19
DCAP_group195,AT 2026kgm,ZTF20aavzwoe,DCAP,,19.124,g-ZTF,2026-04-18 11:40:37.000,2461148.9865393518,2026-04-21 14:30:10,2461152.1042824076,3.118,13,13,True,A1_cv_outburst,"outburst on a PS1 point source 2.66"" away [galactic plane]",2458963.9461458,2188.158,3.118,True,19.61069,True,A1_cv_outburst,"outburst on a PS1 point source 2.66"" away [galactic plane]",DCAP18
DCAP_group195,AT 2026kgl,ZTF26aatgqfj,"DCAP, GOTO",,20.038,r-ZTF,2026-04-18 10:55:17.000,2461148.9550578706,2026-04-21 14:07:27,2461152.0885069445,3.133,2,1,False,,"only 1 clean detection(s), need 2",,,,False,,True,A2_nova_like,"no PS1 source within 3.0""",DCAP17
DCAP_group195,AT 2026kgg,ZTF26aaswshk,DCAP,,19.297,g-ZTF,2026-04-16 07:35:25.000,2461146.816261574,2026-04-21 13:44:05,2461152.0722800926,5.256,4,2,True,C_faint_residue,faint residue at mag 20.12,2461147.85875,4.214,4.214,False,20.11862,True,C_faint_residue,faint residue at mag 20.12,DCAP16
DCAP_group195,AT 2026kgf,ZTF26aatczsn,"DCAP, ATLAS, GOTO",,19.825,g-ZTF,2026-04-17 08:42:43.000,2461147.862997685,2026-04-21 13:32:36,2461152.0643055555,4.201,2,1,False,,"only 1 clean detection(s), need 2",,,,False,,True,C_faint_residue,faint residue at mag 20.09,DCAP15
DCAP_group195,AT 2026kge,ZTF26aatgpuf,DCAP,,17.647,g-ZTF,2026-04-20 11:19:32.000,2461150.9718981483,2026-04-21 13:21:52,2461152.0568518518,1.085,12,2,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",2461148.986088,3.071,3.071,True,18.664385,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",DCAP14
DCAP_group195,AT 2026kgd,ZTF20aciwari,DCAP,,16.784,g-ZTF,2026-04-18 11:05:38.000,2461148.9622453703,2026-04-21 13:12:57,2461152.050659722,3.088,20,5,True,A2_nova_like,"no PS1 source within 3.0""",2461148.0183333,4.032,4.032,True,17.263237,False,,already catalogued in VSX: UG,DCAP13
DCAP_group195,AT 2026kgc,ZTF18adlvryk,DCAP,,18.635,g-ZTF,2026-04-15 11:28:46.000,2461145.978310185,2026-04-21 13:06:55,2461152.0464699073,6.068,2,2,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",2461148.956956,3.09,3.09,False,19.098345,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",DCAP12
DCAP_group195,AT 2026kgb,ZTF26aasjnoi,DCAP,,16.308,g-ZTF,2026-04-17 10:13:12.000,2461147.9258333333,2026-04-21 13:01:46,2461152.0428935187,4.117,6,5,True,A1_cv_outburst,"outburst on a PS1 point source 0.05"" away [galactic plane]",2461145.9690394,6.074,6.074,True,17.82863,True,A1_cv_outburst,"outburst on a PS1 point source 0.05"" away [galactic plane]",DCAP11
DCAP_group195,AT 2026kga,ZTF26aasnszc,"DCAP, Pan-STARRS",,19.507,r-ZTF,2026-04-20 09:43:02.000,2461150.904884259,2026-04-21 12:53:23,2461152.0370717593,1.132,2,2,True,A2_nova_like,"no PS1 source within 3.0""",2461148.9129282,3.124,3.124,True,19.64931,True,A2_nova_like,"no PS1 source within 3.0""",DCAP10
DCAP_group195,AT 2026jim,ZTF26aaqoszd,"DCAP, ZTF",,17.909,r-ZTF,2026-03-28 12:38:56.000,2461128.027037037,2026-04-12 09:46:15,2461142.9071180555,14.88,31,15,True,A2_nova_like,"no PS1 source within 3.0""",2461136.0174306,6.89,6.89,False,17.970392,True,A2_nova_like,"no PS1 source within 3.0""",DCAP9
DCAP_group195,AT 2026jic,ZTF18abqazsf,DCAP,,18.174,r-ZTF,2026-03-06 10:43:27.000,2461105.946840278,2026-04-11 13:54:38,2461142.0796064814,36.133,25,25,True,A2_nova_like,"no PS1 source within 3.0""",2459986.0146296,1156.065,36.051,True,17.725029,True,A2_nova_like,"no PS1 source within 3.0""",DCAP8
DCAP_group195,AT 2026jia,ZTF19aaprdlk,DCAP,,17.938,r-ZTF,2026-03-30 10:40:27.000,2461129.9447569447,2026-04-11 13:40:15,2461142.0696180556,12.125,7,7,True,A1_cv_outburst,"outburst on a PS1 point source 0.40"" away [galactic plane]",2459840.6826273,1301.387,12.075,True,18.448914,True,A1_cv_outburst,"outburst on a PS1 point source 0.40"" away [galactic plane]",DCAP7
DCAP_group195,AT 2026jez,ZTF26aarbcko,DCAP,,17.507,r-ZTF,2026-04-04 09:02:13.000,2461134.876539352,2026-04-10 14:53:37,2461141.1205671295,6.244,4,1,False,,"only 1 clean detection(s), need 2",,,,False,,True,A1_cv_outburst,"outburst on a PS1 point source 2.07"" away [galactic plane]",DCAP6
DCAP_group195,AT 2026jeu,ZTF26aargtko,"DCAP, Pan-STARRS",,17.65,r-ZTF,2026-04-05 10:05:27.000,2461135.9204513887,2026-04-10 13:58:51,2461141.082534722,5.162,19,9,True,A2_nova_like,"no PS1 source within 3.0""",2461137.9444329,3.138,3.138,False,17.4524,True,A2_nova_like,"no PS1 source within 3.0""",DCAP5
DCAP_group195,AT 2026ilw,ZTF26aarccgh,"DCAP, ZTF, GOTO, ATLAS, Pan-STARRS",,19.556,g-ZTF,2026-04-04 08:10:24.000,2461134.8405555557,2026-04-05 16:09:57,2461136.173576389,1.333,11,1,False,,"only 1 clean detection(s), need 2",,,,False,,False,,"nuclear: on a PS1 galaxy centroid (TDE/AGN territory, out of scope)",DCAP4
DCAP_group195,AT 2026ilr,ZTF26aaljvgt,DCAP,,18.661,r-ZTF,2026-03-11 12:49:00.000,2461111.0340277776,2026-04-05 14:31:05,2461136.1049189814,25.071,3,3,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",2461118.0273843,18.078,18.078,False,19.081932,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",DCAP3
DCAP_group195,AT 2026ilm,ZTF26aakkucp,DCAP,,17.38,r-ZTF,2026-03-11 13:10:34.000,2461111.0490046297,2026-04-05 13:12:16,2461136.0501851854,25.001,14,14,True,A2_nova_like,"no PS1 source within 3.0""",2461112.0463889,24.004,24.004,False,17.387737,True,A2_nova_like,"no PS1 source within 3.0""",DCAP2
DCAP_group195,AT 2026ikp,ZTF26aajqcht,DCAP,,15.011,r-ZTF,2026-03-06 13:02:53.000,2461106.0436689816,2026-04-05 12:46:31,2461136.0323032406,29.989,14,14,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",2461109.0479167,26.984,26.984,False,15.607949,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",DCAP1
auto_reporters,AT 2026ouu,ZTF26abatncr,ZTF,,19.8826,r-ZTF,2026-06-06 09:01:29.000,2461197.8760300926,2026-06-10 09:32:47,2461201.8977662036,4.022,2,2,True,D_galactic_plane,"|b| = 12.7 deg, extended association 1.55""",2461201.8358912,0.062,0.062,False,19.763866,True,D_galactic_plane,"|b| = 12.7 deg, extended association 1.55""",ZTF26abatncr
auto_reporters,AT 2026oaw,ZTF26aaxbnbn,ZTF,,21.1567,g-ZTF,2026-05-11 08:47:22.997,2461171.866238391,2026-06-02 09:09:25,2461193.881539352,22.015,0,0,False,,no Fink alerts at all,,,,False,,False,,no Fink alerts at all,ZTF26aaxbnbn
auto_reporters,AT 2026qcw,ZTF26abdfdbc,ZTF,,19.8389,g-ZTF,2026-06-22 04:51:18.002,2461213.70229169,2026-06-26 06:38:54,2461217.777013889,4.075,0,0,False,,no Fink alerts at all,,,,False,,False,,no Fink alerts at all,ZTF26abdfdbc
auto_reporters,AT 2026oki,ZTF26aazrjvy,ZTF,,20.0127,r-ZTF,2026-06-01 04:04:07.996,2461192.6695369906,2026-06-07 06:31:33,2461198.771909722,6.102,0,0,False,,no Fink alerts at all,,,,False,,False,,no Fink alerts at all,ZTF26aazrjvy
auto_reporters,AT 2026mqu,ZTF26aawmyuo,ZTF,,20.0532,r-ZTF,2026-05-12 03:57:41.002,2461172.6650578934,2026-05-15 05:48:51,2461175.7422569445,3.077,0,0,False,,no Fink alerts at all,,,,False,,False,,no Fink alerts at all,ZTF26aawmyuo
auto_reporters,AT 2026wxt,ZTF26abfibte,ZTF,,20.0164,g-ZTF,2026-07-04 07:13:30.996,2461225.8010531943,2026-08-03 09:03:22,2461255.877337963,30.076,0,0,False,,no Fink alerts at all,,,,False,,False,,no Fink alerts at all,ZTF26abfibte
auto_reporters,AT 2026wxq,ZTF26abjlumy,ZTF,,19.6734,r-ZTF,2026-07-24 06:50:07.998,2461245.7848147918,2026-08-03 08:59:21,2461255.874548611,10.09,1,1,False,,"only 1 clean detection(s), need 2",,,,False,,False,,"only 1 clean detection(s), need 2",ZTF26abjlumy
auto_reporters,AT 2026mie,ZTF26aawduyn,ZTF,,19.8533,r-ZTF,2026-05-11 10:49:54.998,2461171.951330995,2026-05-12 19:56:25,2461173.3308449076,1.38,2,0,False,,no alerts before the cutoff,,,,False,,False,,"nuclear: on a PS1 galaxy centroid (TDE/AGN territory, out of scope)",ZTF26aawduyn
auto_reporters,AT 2026pqg,ZTF26abbmrvo,ZTF,,20.4789,r-ZTF,2026-06-08 10:00:23.002,2461199.9169328935,2026-06-19 18:25:31,2461211.267719907,11.351,0,0,False,,no Fink alerts at all,,,,False,,False,,no Fink alerts at all,ZTF26abbmrvo
auto_reporters,AT 2026znv,ZTF26abovhed,ZTF,,20.4096,r-ZTF,2026-08-15 03:49:25.999,2461267.659328692,2026-08-23 06:11:22,2461275.7578935185,8.099,0,0,False,,no Fink alerts at all,,,,False,,False,,no Fink alerts at all,ZTF26abovhed
auto_reporters,AT 2026uwb,ZTF26abevcap,ZTF,,20.4592,g-ZTF,2026-06-18 05:03:40.999,2461209.7108911923,2026-07-15 15:15:17,2461237.135613426,27.425,5,2,True,A2_nova_like,"no PS1 source within 3.0""",2461235.7123032,1.423,1.423,False,20.045065,True,A2_nova_like,"no PS1 source within 3.0""",ZTF26abevcap
auto_reporters,AT 2026nfm,ZTF26aaxjars,ZTF,,19.4861,r-ZTF,2026-05-16 11:33:54.000,2461176.981875,2026-05-20 16:45:38,2461181.1983564813,4.216,3,1,False,,"only 1 clean detection(s), need 2",,,,False,,False,,"nuclear: on a PS1 galaxy centroid (TDE/AGN territory, out of scope)",ZTF26aaxjars
auto_reporters,AT 2026mtd,ZTF26aavmzgv,ZTF,,19.7668,r-ZTF,2026-05-10 04:34:12.996,2461170.6904281946,2026-05-16 06:03:40,2461176.7525462965,6.062,0,0,False,,no Fink alerts at all,,,,False,,False,,no Fink alerts at all,ZTF26aavmzgv
auto_reporters,TDE 2026nuq,ZTF26aavrgaw,ZTF,TDE-H-He,20.5273,g-ZTF,2026-05-09 09:16:21.002,2461169.88635419,2026-05-29 05:12:09,2461189.7167708334,19.83,0,0,False,,no Fink alerts at all,,,,False,,False,,no Fink alerts at all,ZTF26aavrgaw
auto_reporters,TDE 2026rey,ZTF26aaximsq,ZTF,TDE-featureless,20.3025,r-ZTF,2026-05-08 09:15:57.000,2461168.886076389,2026-07-02 11:32:33,2461223.9809375,55.095,0,0,False,,no Fink alerts at all,,,,False,,False,,no Fink alerts at all,ZTF26aaximsq
auto_reporters,AT 2026vaq,ZTF26abhtvzs,ZTF,,20.6596,r-ZTF,2026-07-08 09:55:30.002,2461229.91354169,2026-07-17 16:49:01,2461239.2007060186,9.287,2,0,False,,no alerts before the cutoff,,,,False,,False,,"only 1 clean detection(s), need 2",ZTF26abhtvzs
auto_reporters,AT 2026owa,ZTF26abaogss,ZTF,,19.5497,r-ZTF,2026-05-20 10:31:10.001,2461180.9383101966,2026-06-10 16:08:39,2461202.172673611,21.234,7,3,False,,"only 1 clean detection(s), need 2",,,,False,,True,A1_cv_outburst,"outburst on a PS1 point source 0.05"" away [galactic plane]",ZTF26abaogss
auto_reporters,AT 2026waq,ZTF26abjiwwz,ZTF,,20.2547,r-ZTF,2026-07-22 10:24:48.000,2461243.933888889,2026-07-23 17:10:32,2461245.215648148,1.282,3,1,False,,"only 1 clean detection(s), need 2",,,,False,,True,C_faint_residue,faint residue at mag 20.06,ZTF26abjiwwz
auto_reporters,AT 2026nwu,ZTF26aaxiuhq,ZTF,,20.9251,r-ZTF,2026-05-16 09:44:41.000,2461176.9060300924,2026-05-31 09:54:49,2461191.9130671294,15.007,0,0,False,,no Fink alerts at all,,,,False,,False,,no Fink alerts at all,ZTF26aaxiuhq
auto_reporters,AT 2026wzd,ZTF26ablkelj,ZTF,,20.6523,r-ZTF,2026-07-22 09:04:51.003,2461243.8783680904,2026-08-03 22:07:03,2461256.4215625,12.543,1,0,False,,no alerts before the cutoff,,,,False,,False,,"only 1 clean detection(s), need 2",ZTF26ablkelj
auto_reporters,AT 2026pqd,ZTF26abcujvt,ZTF,,19.375,r-ZTF,2026-06-18 11:30:15.001,2461209.9793402893,2026-06-19 18:24:37,2461211.2670949074,1.288,6,1,False,,"only 1 clean detection(s), need 2",,,,False,,True,A2_nova_like,"no PS1 source within 3.0""",ZTF26abcujvt
auto_reporters,AT 2026wkf,ZTF25ablchma,ZTF,,19.3892,r-ZTF,2026-06-17 11:13:07.999,2461208.967453692,2026-07-30 12:55:15,2461252.0383680556,43.071,2,2,False,,SIMBAD says QSO (already-known variable or host),,,,False,,False,,SIMBAD says QSO (already-known variable or host),ZTF25ablchma
auto_reporters,AT 2026yys,ZTF26abnvlir,ZTF,,20.3249,r-ZTF,2026-08-12 11:54:34.004,2461264.996226898,2026-08-15 15:20:57,2461268.139548611,3.143,4,1,False,,"only 1 clean detection(s), need 2",,,,False,,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",ZTF26abnvlir
auto_reporters,AT 2026yin,ZTF26abjidit,ZTF,,20.2093,i-ZTF,2026-07-22 11:16:00.998,2461243.9694559956,2026-08-08 15:57:05,2461261.164641204,17.195,4,3,True,C_faint_residue,faint residue at mag 20.06,2461260.9139931,0.251,0.251,False,20.062035,True,C_faint_residue,faint residue at mag 20.06,ZTF26abjidit
auto_reporters,AT 2026wfu,ZTF26abkandl,ZTF,,19.4806,r-ZTF,2026-07-25 04:03:56.998,2461246.6694096993,2026-07-26 08:13:42,2461247.842847222,1.173,0,0,False,,no Fink alerts at all,,,,False,,False,,no Fink alerts at all,ZTF26abkandl
auto_reporters,AT 2026yiu,ZTF26abmrynm,ALeRCE,,19.9988,g-ZTF,2026-08-08 09:11:24.996,2461260.8829281945,2026-08-08 18:34:28,2461261.2739351853,0.391,1,1,False,,"only 1 clean detection(s), need 2",,,,False,,False,,"only 1 clean detection(s), need 2",ZTF26abmrynm
auto_reporters,AT 2026mhw,ZTF26aavkfuf,ZTF,,20.2311,r-ZTF,2026-05-08 08:33:55.002,2461168.8568865974,2026-05-12 16:55:25,2461173.205150463,4.348,1,0,False,,no alerts before the cutoff,,,,False,,False,,"only 1 clean detection(s), need 2",ZTF26aavkfuf
auto_reporters,AT 2026wpn,ZTF26ablgofx,ZTF,,20.5109,r-ZTF,2026-07-25 06:55:46.004,2461246.7887268984,2026-08-02 13:23:36,2461255.0580555554,8.269,0,0,False,,no Fink alerts at all,,,,False,,False,,no Fink alerts at all,ZTF26ablgofx
auto_reporters,AT 2026yhh,ZTF26abmqjuk,ZTF,,18.3608,g-ZTF,2026-08-08 09:08:42.002,2461260.88104169,2026-08-08 12:40:32,2461261.028148148,0.147,2,2,False,,"only 1 clean detection(s), need 2",,,,False,,False,,"only 1 clean detection(s), need 2",ZTF26abmqjuk
auto_reporters,AT 2026ntq,ZTF26aayuvwo,ZTF,,18.7253,i-ZTF,2026-05-23 11:13:43.000,2461183.9678587965,2026-05-28 11:34:11,2461188.982071759,5.014,0,0,False,,no Fink alerts at all,,,,False,,False,,no Fink alerts at all,ZTF26aayuvwo
auto_reporters,AT 2026nzd,ZTF26aazecdx,ALeRCE,,19.2469,i-ZTF,2026-06-01 11:01:20.004,2461192.9592593056,2026-06-01 17:30:11,2461193.2292939816,0.27,0,0,False,,no Fink alerts at all,,,,False,,False,,no Fink alerts at all,ZTF26aazecdx
auto_reporters,SN 2026qbr,ZTF26abdrmsn,ZTF,SN II,19.2933,i-ZTF,2026-06-22 10:55:13.002,2461213.9550115974,2026-06-25 13:31:09,2461217.063298611,3.108,6,1,False,,"only 1 clean detection(s), need 2",,,,False,,False,,already in TNS: SN II,ZTF26abdrmsn
auto_reporters,AT 2026sfm,ZTF26abfccua,ZTF,,19.1474,r-ZTF,2026-07-05 11:22:48.996,2461226.9741781945,2026-07-07 15:18:42,2461229.137986111,2.164,6,2,True,A2_nova_like,"no PS1 source within 3.0""",2461228.973588,0.164,0.164,False,18.998095,True,A2_nova_like,"no PS1 source within 3.0""",ZTF26abfccua
auto_reporters,AT 2026qpa,ZTF26abbhmau,ZTF,,20.0611,r-ZTF,2026-06-11 11:21:16.997,2461202.973113391,2026-06-28 05:14:28,2461219.71837963,16.745,3,2,False,,clean detections span 0.0029 d < 0.02083 d -- cannot exclude a mover,,,,False,,True,A2_nova_like,"no PS1 source within 3.0""",ZTF26abbhmau
auto_reporters,AT 2026okh,ZTF26aaxuxap,ZTF,,20.1698,g-ZTF,2026-05-19 04:37:40.002,2461179.6928240974,2026-06-07 06:31:20,2461198.771759259,19.079,4,2,False,,"nuclear: on a PS1 galaxy centroid (TDE/AGN territory, out of scope)",,,,False,,True,C_faint_residue,faint residue at mag 19.40,ZTF26aaxuxap
auto_reporters,AT 2026sqy,ZTF26abeqrlk,ZTF,,20.2401,r-ZTF,2026-07-04 05:12:17.999,2461225.7168749883,2026-07-08 12:47:56,2461230.033287037,4.316,0,0,False,,no Fink alerts at all,,,,False,,False,,no Fink alerts at all,ZTF26abeqrlk
auto_reporters,AT 2026oiq,ZTF26aayecin,ZTF,,20.4182,r-ZTF,2026-05-13 07:36:07.001,2461173.8167476966,2026-06-06 00:28:52,2461197.520046296,23.703,0,0,False,,no Fink alerts at all,,,,False,,False,,no Fink alerts at all,ZTF26aayecin
auto_reporters,AT 2026xcd,ZTF26abluado,ZTF,,20.7419,r-ZTF,2026-07-24 09:31:24.003,2461245.8968055905,2026-08-04 16:31:22,2461257.188449074,11.292,0,0,False,,no Fink alerts at all,,,,False,,False,,no Fink alerts at all,ZTF26abluado
auto_reporters,AT 2026xci,ZTF26ablpqzw,ZTF,,20.5198,r-ZTF,2026-08-02 04:18:30.000,2461254.679513889,2026-08-04 16:44:52,2461257.197824074,2.518,2,0,False,,no alerts before the cutoff,,,,False,,False,,"nuclear: on a PS1 galaxy centroid (TDE/AGN territory, out of scope)",ZTF26ablpqzw
auto_reporters,SN 2026trc,ZTF26abdtscf,ZTF,SN Ib,19.5986,r-ZTF,2026-06-25 05:32:27.997,2461216.730879595,2026-07-11 05:53:29,2461232.745474537,16.015,0,0,False,,no Fink alerts at all,,,,False,,False,,no Fink alerts at all,ZTF26abdtscf
auto_reporters,AT 2026orn,ZTF26abanxjq,ALeRCE,,19.8995,r-ZTF,2026-06-08 09:38:21.998,2461199.9016434955,2026-06-08 21:21:17,2461200.3897800925,0.488,1,1,False,,"only 1 clean detection(s), need 2",,,,False,,False,,"only 1 clean detection(s), need 2",ZTF26abanxjq
auto_reporters,AT 2026pqc,ZTF26abcpjpr,ZTF,,19.813,r-ZTF,2026-06-18 11:25:19.997,2461209.975925891,2026-06-19 18:24:33,2461211.2670486113,1.291,2,2,True,A1_cv_outburst,"outburst on a PS1 point source 0.75"" away",2461210.9772222,0.29,0.29,False,19.724384,True,A1_cv_outburst,"outburst on a PS1 point source 0.75"" away",ZTF26abcpjpr
auto_reporters,AT 2026mib,ZTF26aavmdkv,ZTF,,19.283,r-ZTF,2026-05-09 11:44:24.002,2461169.98916669,2026-05-12 19:55:25,2461173.330150463,3.341,12,1,False,,"only 1 clean detection(s), need 2",,,,False,,True,A1_cv_outburst,"outburst on a PS1 point source 0.34"" away",ZTF26aavmdkv
auto_reporters,AT 2026nlv,ZTF25acdlhoi,ALeRCE,,19.7829,r-ZTF,2026-05-23 11:25:12.999,2461183.975844896,2026-05-23 16:08:30,2461184.1725694444,0.197,4,1,False,,"only 1 clean detection(s), need 2",,,,False,,False,,"nuclear: on a PS1 galaxy centroid (TDE/AGN territory, out of scope)",ZTF25acdlhoi
auto_reporters,AT 2026xcl,ZTF26abljdrj,ZTF,,18.8536,r-ZTF,2026-08-02 12:05:09.000,2461255.003576389,2026-08-04 16:53:39,2461257.203923611,2.2,6,1,False,,"only 1 clean detection(s), need 2",,,,False,,False,,"no channel: bright, off-plane, extended non-stellar association",ZTF26abljdrj
auto_reporters,AT 2026zks,ZTF26abomequ,ZTF,,21.0183,r-ZTF,2026-08-08 05:14:04.004,2461260.718101898,2026-08-22 07:46:35,2461274.8240162036,14.106,0,0,False,,no Fink alerts at all,,,,False,,False,,no Fink alerts at all,ZTF26abomequ
auto_reporters,AT 2026zen,ZTF26abpemmm,ZTF,,20.8851,r-ZTF,2026-08-15 07:59:44.998,2461267.833159699,2026-08-18 18:19:52,2461271.2637962964,3.431,3,1,False,,"only 1 clean detection(s), need 2",,,,False,,True,C_faint_residue,faint residue at mag 19.75,ZTF26abpemmm
auto_reporters,AT 2026zeb,ZTF26abpcbzs,ZTF,,19.9019,g-ZTF,2026-08-17 11:15:04.000,2461269.9687962965,2026-08-18 13:52:51,2461271.0783680556,1.11,0,0,False,,no Fink alerts at all,,,,False,,False,,no Fink alerts at all,ZTF26abpcbzs
auto_reporters,AT 2026obj,ZTF26aazhupq,ZTF,,20.7792,g-ZTF,2026-06-02 10:19:45.998,2461193.9303934956,2026-06-02 15:02:57,2461194.127048611,0.197,0,0,False,,no Fink alerts at all,,,,False,,False,,no Fink alerts at all,ZTF26aazhupq
auto_reporters,AT 2026msi,ZTF26aawduiw,ZTF,,19.5302,r-ZTF,2026-05-11 10:47:11.996,2461171.9494443983,2026-05-15 15:29:13,2461176.1452893517,4.196,0,0,False,,no Fink alerts at all,,,,False,,False,,no Fink alerts at all,ZTF26aawduiw
auto_reporters,AT 2026ooe,ZTF26abaarva,ZTF,,19.594,r-ZTF,2026-06-06 08:28:01.004,2461197.8527893983,2026-06-08 11:17:43,2461199.970636574,2.118,7,5,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",2461198.9224074,1.048,1.048,False,19.290913,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",ZTF26abaarva
auto_reporters,AT 2026yuo,ZTF26abnvljo,ZTF,,19.744,r-ZTF,2026-08-13 11:56:34.998,2461265.997627292,2026-08-13 12:22:23,2461266.0155439815,0.018,4,0,False,,no alerts before the cutoff,,,,False,,True,A2_nova_like,"no PS1 source within 3.0""",ZTF26abnvljo
auto_reporters,AT 2026otg,ZTF26abacplh,ALeRCE,,20.084,r-ZTF,2026-06-06 11:20:28.000,2461197.972546296,2026-06-09 16:28:24,2461201.186388889,3.214,5,2,False,,"nuclear: on a PS1 galaxy centroid (TDE/AGN territory, out of scope)",,,,False,,False,,"nuclear: on a PS1 galaxy centroid (TDE/AGN territory, out of scope)",ZTF26abacplh
