rank_score,oid,STATUS,arm,ra,dec,gal_b,channel,reason,mag_at_pass,band_at_pass,amp,ptp_band,n_outburst_episodes,brightest_ever_mag,hist_span_days,neg_frac,n_neg,n_conf,n_clean,n_alerts,ndethist,drb,sgscore1,distpsnr1,distnr,magnr,gaia_DR3Name,gaia_Gmag,gaia_Plx,gaia_BP-RP,JK,gaiavar_Class,vsx_Name,vsx_Type,vsx_sep,atlasvs_Class,atlasvs_sep,ps1_sep,flag_vsx,flag_gcvs,flag_known_cv,flag_simbad,simbad,tns_nearest,tns_sep_arcsec,probably,outburst_history,fink_link,first_pass_jd
-0.188,ZTF20ackoxkt,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,10.867828,-13.3066601,-76.0534818761098,A1_cv_outburst,"outburst on a PS1 point source 0.16"" away",20.124601,g,1.618,0.329,10,19.8,2187.02,0.0,0.0,17.0,16,17,328.0,0.99846977,1.0,0.15916966,0.10936837,21.414,Gaia DR3 2375973606045137920,20.112438,-0.3721,0.616055,,AGN,,,,,,0.16,,,,,Fail 502,AT 2026xrf,2464.06,"a point source has brightened by 1.6 mag above its quiescent level at |b| = 76.1 deg, now at mag 20.1, varying 0.33 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. a Gaia DR3 star sits at this position (G=20.112438).",MJD 59819.4-59819.4 peak 20.28 (1 det) | MJD 59850.4-59852.4 peak 20.26 (2 det) | MJD 59937.2-59937.2 peak 20.25 (1 det) | MJD 60144.4-60149.5 peak 20.26 (2 det) | MJD 60586.2-60586.4 peak 20.48 (10 det) | MJD 60904.4-60949.3 peak 19.98 (4 det) | MJD 61021.2-61031.1 peak 20.04 (2 det) | MJD 61240.4-61274.4 peak 19.80 (17 det),https://fink-portal.org/ZTF20ackoxkt,2461240.9431134
-0.194,ZTF20abmkdhu,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,329.3054126,-25.8598316,-51.19612575702566,A1_cv_outburst,"outburst on a PS1 point source 0.31"" away",19.611176,r,1.599,0.332,14,19.61,2194.96,0.0,0.0,6.0,6,6,453.0,0.9999972,0.857994,0.31020567,0.25446653,20.448,Gaia DR3 6811930522160792320,20.432322,-0.2543,0.946585,,AGN,,,,,,0.31,,,,,Unknown,AT 2026xnh,1635.26,"a point source has brightened by 1.6 mag above its quiescent level at |b| = 51.2 deg, now at mag 19.6, varying 0.33 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. a Gaia DR3 star sits at this position (G=20.432322).",MJD 59904.1-59904.1 peak 19.84 (1 det) | MJD 60135.4-60148.4 peak 19.97 (3 det) | MJD 60194.3-60194.3 peak 20.11 (1 det) | MJD 60505.4-60555.4 peak 19.91 (4 det) | MJD 60591.2-60591.2 peak 19.83 (1 det) | MJD 60637.1-60637.1 peak 20.08 (1 det) | MJD 60881.4-60948.2 peak 19.69 (11 det) | MJD 61234.4-61274.4 peak 19.61 (6 det),https://fink-portal.org/ZTF20abmkdhu,2461242.8773843
-0.201,ZTF21abjznrj,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,313.3319502,-25.2517427,-37.06545562955306,A1_cv_outburst,"outburst on a PS1 point source 0.18"" away",19.303371,g,1.511,0.389,5,18.98,2543.97,0.0,0.0,57.0,53,57,784.0,0.99984825,0.520167,0.1811745,0.14040071,20.645,Gaia DR3 6805587302142196992,20.482622,-0.599,0.5292,,AGN,,,,,,0.18,,,,,Unknown,AT 2026sov,1349.52,"a point source has brightened by 1.5 mag above its quiescent level at |b| = 37.1 deg, now at mag 19.3, varying 0.39 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. a Gaia DR3 star sits at this position (G=20.482622).",MJD 59402.4-59527.1 peak 19.61 (30 det) | MJD 59753.4-59867.1 peak 19.73 (18 det) | MJD 60203.2-60238.2 peak 19.71 (10 det) | MJD 60843.4-60989.1 peak 18.98 (139 det) | MJD 61203.4-61275.3 peak 19.13 (63 det),https://fink-portal.org/ZTF21abjznrj,2461217.9177315
-0.226,ZTF19abdrtby,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,328.8089774,-10.6513555,-45.47282462776556,A1_cv_outburst,"outburst on a PS1 point source 0.16"" away",19.143017,g,1.434,0.401,11,18.69,2577.94,0.0,0.0,62.0,60,62,1175.0,0.9999993,0.771423,0.15971453,0.09333474,20.508,Gaia DR3 2616937523507708416,19.874119,-0.5258,0.63203,,AGN,,,,,,0.16,,,,,Unknown,AT 2026smu,697.52,"a point source has brightened by 1.4 mag above its quiescent level at |b| = 45.5 deg, now at mag 19.1, varying 0.40 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. a Gaia DR3 star sits at this position (G=19.874119).",MJD 59723.4-59756.5 peak 19.11 (16 det) | MJD 59798.4-59935.1 peak 18.78 (54 det) | MJD 60099.4-60284.2 peak 18.69 (82 det) | MJD 60457.4-60666.1 peak 18.82 (95 det) | MJD 60817.4-60948.2 peak 18.78 (133 det) | MJD 61020.1-61030.1 peak 19.17 (6 det) | MJD 61160.5-61162.5 peak 19.11 (2 det) | MJD 61195.4-61275.3 peak 19.03 (88 det),https://fink-portal.org/ZTF19abdrtby,2461217.8783449
-0.231,ZTF20aaqtncr,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,251.3644021,6.296273,30.80750285101169,A1_cv_outburst,"outburst on a PS1 point source 0.09"" away",19.168385,r,1.442,0.384,8,18.61,2318.77,0.0,0.0,73.0,73,73,1419.0,0.9953658,0.534411,0.088614866,0.14917834,19.419,Gaia DR3 4441745569958680704,20.172787,-0.4639,1.337301,,AGN,,,,,,0.09,,,,,Transient,AT 2026krl,2202.19,"a point source has brightened by 1.4 mag above its quiescent level at |b| = 30.8 deg, now at mag 19.2, varying 0.38 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. a Gaia DR3 star sits at this position (G=20.172787).",MJD 58943.5-59070.2 peak 19.52 (35 det) | MJD 59217.6-59491.2 peak 18.78 (152 det) | MJD 59621.5-59641.5 peak 18.75 (13 det) | MJD 59673.4-59848.1 peak 18.84 (101 det) | MJD 59972.5-60221.1 peak 19.26 (70 det) | MJD 60314.6-60572.2 peak 18.79 (107 det) | MJD 60676.6-60957.1 peak 18.61 (111 det) | MJD 61065.6-61276.2 peak 18.89 (211 det),https://fink-portal.org/ZTF20aaqtncr,2461214.806412
-0.24,ZTF20abmrpsq,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,322.3297179,-25.5233083,-44.99197137307839,A1_cv_outburst,"outburst on a PS1 point source 0.27"" away",19.430664,r,1.457,0.355,8,18.79,2469.23,0.0,0.0,23.0,23,23,936.0,0.91848046,0.94375,0.2656523,0.20100719,20.412,Gaia DR3 6815108729240079104,19.851316,0.4346,0.445305,,AGN,,,,,,0.27,,,,,Unknown,AT 2026veh,490.82,"a point source has brightened by 1.5 mag above its quiescent level at |b| = 45.0 deg, now at mag 19.4, varying 0.35 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. a Gaia DR3 star sits at this position (G=19.851316).",MJD 59048.4-59052.4 peak 20.01 (3 det) | MJD 59136.1-59171.1 peak 19.61 (6 det) | MJD 59397.4-59543.1 peak 18.79 (60 det) | MJD 59757.4-59907.1 peak 18.82 (56 det) | MJD 60123.5-60253.2 peak 19.16 (43 det) | MJD 60501.4-60578.2 peak 19.49 (16 det) | MJD 60851.5-60949.2 peak 19.30 (44 det) | MJD 61218.4-61276.4 peak 18.93 (23 det),https://fink-portal.org/ZTF20abmrpsq,2461226.9388657
-0.298,ZTF18aafeggh,MATTHEW-GATED -- NOT REPORTED TO TNS,E1_new,115.9169604,11.9315512,16.917890435209642,A1_cv_outburst,"outburst on a PS1 point source 0.07"" away",17.349863,r,3.842,0.33,1,17.35,3085.36,0.0,0.0,4.0,4,4,41.0,0.9999998,0.821827,0.07205678,0.09226165,21.192,Gaia DR3 3151708235156077568,19.618433,,0.487629,,CV,Gaia DR3 3151708235156077568,UG,0.08,,,0.07,UG,,VSX:UG,,Unknown,AT 2025amqf,1827.39,"a point source has brightened by 3.8 mag above its quiescent level at |b| = 16.9 deg, now at mag 17.3, varying 0.33 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. ALREADY CATALOGUED AS A CV -- the outburst is real but the object is not new; do NOT file an AT report. a Gaia DR3 star sits at this position (G=19.618433).",MJD 61274.5-61275.5 peak 17.35 (4 det),https://fink-portal.org/ZTF18aafeggh,2461276.012419
-0.418,ZTF19aaynnts,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,309.5540926,-24.8037145,-33.65709412451488,A1_cv_outburst,"outburst on a PS1 point source 0.05"" away",16.916397,r,4.347,1.686,4,16.43,2574.0,0.0,0.0,39.0,39,39,583.0,0.99999994,0.862863,0.052920256,0.12352726,20.78,Gaia DR3 6800417810784234624,20.629164,1.6646,0.612701,,,Gaia18dqf,CV,0.05,,,0.05,CV,,VSX:CV,,Transient,AT 2026sot,417.93,"a point source has brightened by 4.3 mag above its quiescent level at |b| = 33.7 deg, now at mag 16.9, varying 1.69 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. ALREADY CATALOGUED AS A CV -- the outburst is real but the object is not new; do NOT file an AT report. a Gaia DR3 star sits at this position (G=20.629164).",MJD 60108.5-60260.1 peak 17.20 (71 det) | MJD 60474.5-60626.1 peak 17.21 (70 det) | MJD 60843.4-60990.1 peak 16.95 (118 det) | MJD 61203.4-61275.3 peak 16.43 (42 det),https://fink-portal.org/ZTF19aaynnts,2461217.9397106
-0.518,ZTF18abmipkc,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,304.8201209,2.2133487,-18.35899000761219,A1_cv_outburst,"outburst on a PS1 point source 0.29"" away",17.858952,r,3.706,2.119,10,17.19,2966.98,0.0,0.0,80.0,79,80,1563.0,1.0,0.844375,0.29427746,0.28857374,19.696,Gaia DR3 4243272348071399168,19.402374,1.7743,0.938036,,CV,ZTF18abmipkc,NL,0.59,,,0.29,NL,,VSX:NL,,Unknown,AT 2025albg,1586.46,"a point source has brightened by 3.7 mag above its quiescent level at |b| = 18.4 deg, now at mag 17.9, varying 2.12 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. ALREADY CATALOGUED AS A CV -- the outburst is real but the object is not new; do NOT file an AT report. a Gaia DR3 star sits at this position (G=19.402374).",MJD 59137.2-59184.1 peak 18.50 (8 det) | MJD 59269.6-59538.2 peak 17.82 (98 det) | MJD 59670.5-59900.1 peak 17.52 (72 det) | MJD 60082.4-60268.1 peak 17.69 (67 det) | MJD 60374.5-60647.1 peak 17.39 (105 det) | MJD 60728.6-60732.6 peak 18.25 (10 det) | MJD 60772.5-61015.1 peak 17.19 (140 det) | MJD 61094.6-61275.3 peak 17.31 (173 det),https://fink-portal.org/ZTF18abmipkc,2461214.9431019
-0.585,ZTF18abifuem,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,278.7576107,1.7821288,4.4627347605576295,A1_cv_outburst,"outburst on a PS1 point source 0.12"" away [galactic plane]",15.48751,r,1.602,0.549,10,14.41,2897.95,0.0,0.0,72.0,58,72,1864.0,0.99014443,1.0,0.11693619,0.15817949,16.176,Gaia DR3 4273830971664255616,15.601647,0.1672,4.026627,1.82,SYST,IPHAS J183501.83+014656.0,ZAND,0.19,dubious,0.12,0.12,ZAND,,VSX:ZAND,,Symbiotic*,AT 2026lck,8054.54,"a point source has brightened by 1.6 mag above its quiescent level in the galactic plane (|b| = 4.5 deg), now at mag 15.5, varying 0.55 mag peak-to-peak within one band; dwarf-nova outburst or classical nova. ALREADY CATALOGUED AS A CV -- the outburst is real but the object is not new; do NOT file an AT report. a Gaia DR3 star sits at this position (G=15.601647). ATLAS variable-star counterpart 0.12"" away (class dubious). VERY RED (J-K > 1, BP-RP > 2) -- the classic Mira false positive; colour-check before doing anything.",MJD 59248.6-59370.4 peak 15.77 (53 det) | MJD 59452.2-59531.1 peak 17.75 (15 det) | MJD 59623.6-59638.5 peak 18.62 (2 det) | MJD 59694.4-59898.1 peak 15.01 (91 det) | MJD 59971.6-60258.1 peak 14.59 (115 det) | MJD 60354.5-60627.1 peak 14.41 (97 det) | MJD 60699.6-60934.2 peak 14.98 (93 det) | MJD 61058.6-61276.3 peak 15.04 (190 det),https://fink-portal.org/ZTF18abifuem,2461216.7912269
-0.683,ZTF18adodmcb,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,302.157483,-5.0229439,-19.44601733023197,A1_cv_outburst,"outburst on a PS1 point source 0.22"" away",17.953638,r,3.781,1.61,11,17.4,2942.9,0.0,0.0,15.0,15,15,305.0,0.99997103,0.985417,0.21746172,0.23825963,21.388,Gaia DR3 4220566024211063296,20.61253,,0.650118,,,MGAB-V3678,UG,0.15,,,0.22,UG,,VSX:UG,,Unknown,AT 2025syl,1435.73,"a point source has brightened by 3.8 mag above its quiescent level at |b| = 19.4 deg, now at mag 18.0, varying 1.61 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. ALREADY CATALOGUED AS A CV -- the outburst is real but the object is not new; do NOT file an AT report. a Gaia DR3 star sits at this position (G=20.61253).",MJD 60123.4-60123.4 peak 18.96 (1 det) | MJD 60209.3-60224.2 peak 17.52 (10 det) | MJD 60480.4-60501.4 peak 17.43 (6 det) | MJD 60598.1-60598.2 peak 18.43 (2 det) | MJD 60802.5-60823.4 peak 17.40 (10 det) | MJD 60865.3-60865.3 peak 19.02 (1 det) | MJD 61117.5-61119.5 peak 18.52 (2 det) | MJD 61259.3-61274.3 peak 17.94 (15 det),https://fink-portal.org/ZTF18adodmcb,2461260.7601157
-0.878,ZTF18abcgnpe,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,285.8964011,-3.0543111,-4.093258329599106,A1_cv_outburst,"outburst on a PS1 point source 0.08"" away [galactic plane]",14.809408,g,1.128,0.341,11,12.07,2929.94,0.0,0.0,47.0,47,51,1138.0,0.99844956,0.9275,0.07998989,0.09649705,15.7439995,Gaia DR3 4261573650399645184,13.015726,0.1433,3.211491,1.52,LPV,CM Aql,ZAND,0.16,LPV,0.08,0.08,ZAND,ZAND,GCVS:ZAND,,Symbiotic*,AT 2025ysr,6395.28,"a point source has brightened by 1.1 mag above its quiescent level in the galactic plane (|b| = 4.1 deg), now at mag 14.8, varying 0.34 mag peak-to-peak within one band; dwarf-nova outburst or classical nova. ALREADY CATALOGUED AS A CV -- the outburst is real but the object is not new; do NOT file an AT report. a Gaia DR3 star sits at this position (G=13.015726). ATLAS variable-star counterpart 0.08"" away (class LPV). VERY RED (J-K > 1, BP-RP > 2) -- the classic Mira false positive; colour-check before doing anything.",MJD 59253.6-59529.1 peak 12.19 (67 det) | MJD 59621.6-59629.5 peak 12.46 (7 det) | MJD 59671.5-59889.1 peak 12.76 (64 det) | MJD 59994.5-60255.1 peak 12.41 (51 det) | MJD 60354.6-60357.6 peak 12.79 (5 det) | MJD 60404.5-60623.1 peak 12.95 (57 det) | MJD 60756.5-60989.1 peak 12.95 (79 det) | MJD 61120.5-61276.2 peak 13.38 (105 det),https://fink-portal.org/ZTF18abcgnpe,2461216.8353009
-0.992,ZTF18absgnqy,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,349.0150847,-5.4525065,-58.61303660041413,A1_cv_outburst,"outburst on a PS1 point source 0.09"" away",16.945564,g,2.521,3.13,10,15.74,2915.98,0.0,0.0,57.0,56,57,1222.0,1.0,0.99875,0.08717363,0.13702868,18.695,Gaia DR3 2632268220291434624,18.65196,1.6162,1.840952,0.58,CV,V0358 Aqr,AM,0.13,,,0.09,AM,XM,VSX:AM,,CataclyV*,AT 2026rbo,657.85,"a point source has brightened by 2.5 mag above its quiescent level at |b| = 58.6 deg, now at mag 16.9, varying 3.13 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. ALREADY CATALOGUED AS A CV -- the outburst is real but the object is not new; do NOT file an AT report. a Gaia DR3 star sits at this position (G=18.65196).",MJD 59018.4-59223.1 peak 18.78 (83 det) | MJD 59377.4-59543.2 peak 18.83 (61 det) | MJD 59737.4-59757.4 peak 15.74 (14 det) | MJD 59798.4-59951.1 peak 15.74 (72 det) | MJD 60108.4-60316.1 peak 16.15 (51 det) | MJD 60476.4-60689.1 peak 16.09 (43 det) | MJD 60835.4-61055.1 peak 15.84 (234 det) | MJD 61175.5-61276.3 peak 16.14 (68 det),https://fink-portal.org/ZTF18absgnqy,2461217.933831
-1.128,ZTF20acqpkxj,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,352.358572,-16.2763003,-68.1267183973939,A1_cv_outburst,"outburst on a PS1 point source 0.54"" away",19.5896,g,2.415,1.813,8,16.2,2807.21,0.0,0.0,22.0,20,22,467.0,0.9999964,0.981875,0.5389247,0.41557473,20.153,Gaia DR3 2395305769240905600,18.317789,2.7753,0.642107,1.85,CV,ZTF20acqpkxj,AM:,0.88,,,0.54,AM:,,VSX:AM:,,CataclyV*,AT 2025adoe,1287.12,"a point source has brightened by 2.4 mag above its quiescent level at |b| = 68.1 deg, now at mag 19.6, varying 1.81 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. ALREADY CATALOGUED AS A CV -- the outburst is real but the object is not new; do NOT file an AT report. a Gaia DR3 star sits at this position (G=18.317789).",MJD 59168.2-59218.1 peak 17.08 (13 det) | MJD 59397.4-59473.4 peak 18.24 (21 det) | MJD 59755.4-59755.5 peak 19.17 (2 det) | MJD 59794.4-59934.1 peak 16.30 (43 det) | MJD 60122.4-60285.1 peak 17.98 (36 det) | MJD 60850.4-60853.5 peak 16.57 (3 det) | MJD 60886.4-61032.1 peak 16.20 (78 det) | MJD 61234.4-61276.3 peak 17.95 (22 det),https://fink-portal.org/ZTF20acqpkxj,2461237.9221644
